covid_vacc_date,total,40-49,30-39,18-29,70-79,50-54,55-59,60-64,80+,65-69,shielding (aged 16-69),16-17,care home,LD (aged 16-64)
2021 25 Apr,11577489.0,1520491.0,779184.0,574350.0,1966713.0,1323700.0,1328649.0,1154783.0,1034656.0,992292.0,731297.0,21126.0,83188.0,67060.0
2021 26 Apr,11600085.0,1538019.0,781543.0,575078.0,1966937.0,1324267.0,1329055.0,1154993.0,1034740.0,992432.0,731556.0,21168.0,83202.0,67095.0
2021 27 Apr,11634273.0,1565648.0,784616.0,576093.0,1967217.0,1324981.0,1329580.0,1155252.0,1034831.0,992607.0,731871.0,21224.0,83216.0,67137.0
2021 28 Apr,11671702.0,1595342.0,788410.0,577395.0,1967525.0,1325681.0,1330063.0,1155497.0,1034908.0,992845.0,732221.0,21364.0,83251.0,67200.0
2021 29 Apr,11714682.0,1627521.0,794801.0,578823.0,1967861.0,1326430.0,1330588.0,1155805.0,1035027.0,993111.0,732627.0,21511.0,83293.0,67284.0
2021 30 Apr,11756934.0,1660106.0,800233.0,580293.0,1968134.0,1327277.0,1331120.0,1156078.0,1035111.0,993328.0,732991.0,21616.0,83307.0,67340.0
2021 01 May,11801433.0,1697164.0,804468.0,581175.0,1968365.0,1327970.0,1331554.0,1156309.0,1035167.0,993524.0,733278.0,21735.0,83314.0,67410.0
2021 02 May,11828782.0,1720145.0,807079.0,581679.0,1968442.0,1328383.0,1331785.0,1156435.0,1035188.0,993629.0,733432.0,21847.0,83314.0,67424.0
2021 03 May,11850818.0,1739584.0,808731.0,581896.0,1968519.0,1328635.0,1331918.0,1156505.0,1035202.0,993706.0,733516.0,21854.0,83314.0,67438.0
2021 04 May,11886763.0,1770797.0,811538.0,582337.0,1968673.0,1329076.0,1332198.0,1156666.0,1035258.0,993853.0,733705.0,21875.0,83328.0,67459.0
2021 05 May,11927363.0,1802542.0,817215.0,583345.0,1968869.0,1329657.0,1332604.0,1156904.0,1035335.0,994070.0,733978.0,21980.0,83349.0,67515.0
2021 06 May,11965730.0,1831165.0,822339.0,585186.0,1969086.0,1330343.0,1333101.0,1157226.0,1035433.0,994371.0,734335.0,22183.0,83370.0,67592.0
2021 07 May,12010159.0,1864443.0,828674.0,587384.0,1969268.0,1331106.0,1333584.0,1157527.0,1035496.0,994609.0,734664.0,22365.0,83391.0,67648.0
2021 08 May,12063149.0,1907577.0,834470.0,588861.0,1969429.0,1331960.0,1334109.0,1157835.0,1035545.0,994819.0,734958.0,22477.0,83398.0,67711.0
2021 09 May,12091457.0,1930530.0,837907.0,589505.0,1969492.0,1332408.0,1334382.0,1157982.0,1035566.0,994931.0,735098.0,22526.0,83398.0,67732.0
2021 10 May,12119303.0,1952405.0,841176.0,590555.0,1969590.0,1332905.0,1334711.0,1158164.0,1035615.0,995092.0,735301.0,22610.0,83412.0,67767.0
2021 11 May,12154835.0,1974049.0,849394.0,593747.0,1969737.0,1333577.0,1335194.0,1158437.0,1035671.0,995295.0,735658.0,22813.0,83433.0,67830.0
2021 12 May,12215287.0,1996393.0,877282.0,600439.0,1969940.0,1334438.0,1335824.0,1158829.0,1035769.0,995540.0,736183.0,23254.0,83454.0,67942.0
2021 13 May,12284167.0,2021404.0,908677.0,609028.0,1970150.0,1335397.0,1336524.0,1159270.0,1035839.0,995778.0,736736.0,23835.0,83475.0,68054.0
2021 14 May,12356036.0,2048711.0,942277.0,616343.0,1970332.0,1336419.0,1337147.0,1159704.0,1035902.0,996016.0,737261.0,24262.0,83503.0,68159.0
2021 15 May,12437754.0,2080379.0,981001.0,623791.0,1970514.0,1337539.0,1337868.0,1160145.0,1035958.0,996226.0,737814.0,24738.0,83510.0,68271.0
2021 16 May,12479110.0,2095821.0,1000552.0,628138.0,1970605.0,1338134.0,1338232.0,1160376.0,1035979.0,996338.0,738080.0,25025.0,83517.0,68313.0
2021 17 May,12508335.0,2107371.0,1013845.0,630735.0,1970696.0,1338631.0,1338547.0,1160649.0,1036021.0,996457.0,738339.0,25165.0,83524.0,68355.0
2021 18 May,12565259.0,2120629.0,1046913.0,638645.0,1970836.0,1339366.0,1339044.0,1160964.0,1036077.0,996639.0,738766.0,25417.0,83545.0,68418.0
