covid_vacc_date,total,12-15,5-11
2022 03 Apr,624568.0,607348.0,17220.0
2022 04 Apr,626934.0,608048.0,18886.0
2022 05 Apr,629734.0,608692.0,21042.0
2022 06 Apr,632534.0,609378.0,23156.0
2022 07 Apr,635229.0,610078.0,25151.0
2022 08 Apr,638211.0,610827.0,27384.0
2022 09 Apr,644924.0,612136.0,32788.0
2022 10 Apr,649649.0,612983.0,36666.0
2022 11 Apr,654878.0,613991.0,40887.0
2022 12 Apr,660870.0,615006.0,45864.0
2022 13 Apr,666988.0,616084.0,50904.0
2022 14 Apr,673365.0,617197.0,56168.0
2022 15 Apr,676956.0,617750.0,59206.0
2022 16 Apr,682556.0,618751.0,63805.0
2022 17 Apr,684040.0,619024.0,65016.0
2022 18 Apr,686483.0,619458.0,67025.0
2022 19 Apr,691572.0,620277.0,71295.0
2022 20 Apr,695842.0,621047.0,74795.0
2022 21 Apr,701848.0,621894.0,79954.0
2022 22 Apr,707784.0,622755.0,85029.0
2022 23 Apr,716632.0,624043.0,92589.0
2022 24 Apr,721833.0,624806.0,97027.0
2022 25 Apr,724087.0,625205.0,98882.0
2022 26 Apr,726698.0,625625.0,101073.0
2022 27 Apr,729582.0,626157.0,103425.0
2022 28 Apr,732676.0,626591.0,106085.0
2022 29 Apr,736400.0,627102.0,109298.0
2022 30 Apr,744975.0,628355.0,116620.0
2022 01 May,748895.0,628929.0,119966.0
2022 02 May,750862.0,629167.0,121695.0
2022 03 May,753039.0,629538.0,123501.0
2022 04 May,755846.0,630049.0,125797.0
2022 05 May,758198.0,630448.0,127750.0
2022 06 May,760935.0,630896.0,130039.0
2022 07 May,768110.0,631932.0,136178.0
2022 08 May,771708.0,632443.0,139265.0
2022 09 May,772954.0,632702.0,140252.0
2022 10 May,774403.0,633003.0,141400.0
2022 11 May,776377.0,633353.0,143024.0
2022 12 May,778295.0,633633.0,144662.0
2022 13 May,780486.0,634018.0,146468.0
2022 14 May,786688.0,634830.0,151858.0
2022 15 May,790076.0,635257.0,154819.0
2022 16 May,791294.0,635460.0,155834.0
2022 17 May,792596.0,635691.0,156905.0
2022 18 May,794157.0,635985.0,158172.0
2022 19 May,795648.0,636223.0,159425.0
2022 20 May,797482.0,636566.0,160916.0
2022 21 May,802116.0,637210.0,164906.0
2022 22 May,804118.0,637504.0,166614.0
2022 23 May,804951.0,637686.0,167265.0
2022 24 May,806015.0,637910.0,168105.0
2022 25 May,807338.0,638134.0,169204.0
2022 26 May,808423.0,638316.0,170107.0
2022 27 May,809858.0,638519.0,171339.0
2022 28 May,813316.0,639065.0,174251.0
2022 29 May,815087.0,639303.0,175784.0
2022 30 May,817229.0,639646.0,177583.0
2022 31 May,819490.0,640024.0,179466.0
2022 01 Jun,821723.0,640430.0,181293.0
2022 02 Jun,822108.0,640465.0,181643.0
2022 03 Jun,822367.0,640507.0,181860.0
2022 04 Jun,823872.0,640829.0,183043.0
2022 05 Jun,824649.0,640948.0,183701.0
2022 06 Jun,825419.0,641081.0,184338.0
2022 07 Jun,826028.0,641207.0,184821.0
2022 08 Jun,826847.0,641347.0,185500.0
2022 09 Jun,827694.0,641459.0,186235.0
2022 10 Jun,828485.0,641599.0,186886.0
2022 11 Jun,831390.0,642131.0,189259.0
2022 12 Jun,832783.0,642362.0,190421.0
2022 13 Jun,833294.0,642460.0,190834.0
2022 14 Jun,833994.0,642607.0,191387.0
2022 15 Jun,834715.0,642775.0,191940.0
2022 16 Jun,835548.0,642908.0,192640.0
2022 17 Jun,836325.0,643055.0,193270.0
2022 18 Jun,838838.0,643496.0,195342.0
2022 19 Jun,839874.0,643671.0,196203.0
2022 20 Jun,840315.0,643769.0,196546.0
2022 21 Jun,840868.0,643881.0,196987.0
2022 22 Jun,841554.0,644014.0,197540.0
